CNPJ_ESTAB;NSU_TRANSACAO;DATA_VENDA;VALOR_VENDA;DATA_CREDITO;VALOR_CREDITO
30501733000114;224299;20/03/2025;3079,46;24/03/2025;2962,67
12946465000165;195464;23/02/2025;145,12;28/02/2025;140,66
63101436000127;584917;19/02/2025;4011,13;21/02/2025;3978,64
41030336000175;218343;05/12/2025;1276,79;08/12/2025;1224,23
36171298000151;876535;04/07/2025;3151,32;11/07/2025;3035,40
60880715000171;414653;08/07/2025;2224,48;14/07/2025;2219,91
90975525000186;417060;08/09/2025;268,24;14/09/2025;258,63
40663530000148;411017;01/12/2025;1159,23;06/12/2025;1145,09
60804826000136;108312;08/05/2025;4478,60;14/05/2025;4387,95
88944311000117;180449;28/04/2025;1726,48;01/05/2025;1701,52
73975586000184;879495;15/11/2025;1688,38;16/11/2025;1628,37
90020971000188;762469;05/07/2025;4228,61;11/07/2025;4166,71
28220946000156;797524;28/02/2025;1450,05;06/03/2025;1448,16
20132645000191;390686;13/05/2025;897,74;18/05/2025;889,89
10429657000115;636800;13/09/2025;1584,56;17/09/2025;1520,00
52796228000173;254510;12/06/2025;229,25;13/06/2025;218,16
70932367000174;252370;22/08/2025;4440,14;29/08/2025;4231,96
55132584000114;166063;09/07/2025;3370,25;13/07/2025;3294,31
86505620000122;238776;04/12/2025;4663,19;11/12/2025;4466,99
12090634000169;468098;23/04/2025;1943,50;24/04/2025;1941,43
10822775000179;482758;06/02/2025;1202,23;09/02/2025;1144,55
18424292000120;629156;22/05/2025;680,67;22/05/2025;675,70
74209499000140;704076;15/11/2025;2071,21;22/11/2025;1978,67
16257010000148;105792;09/09/2025;4729,19;13/09/2025;4643,52
61980178000122;868543;01/02/2025;2025,58;04/02/2025;2000,82
14924883000124;676773;09/06/2025;1729,98;09/06/2025;1718,31
67871793000190;277711;23/12/2025;3256,63;26/12/2025;3176,38
58435431000177;614567;06/03/2025;2052,55;10/03/2025;2024,76
11209761000140;649502;15/11/2025;2760,90;19/11/2025;2714,44
87625352000172;417216;19/12/2025;3537,37;25/12/2025;3439,43
59742125000114;535014;08/05/2025;538,44;08/05/2025;538,15
84766778000194;377786;02/11/2025;2981,66;04/11/2025;2844,83
32994833000133;778859;15/01/2025;760,42;21/01/2025;760,17
22560027000116;557865;06/04/2025;3069,74;13/04/2025;2923,78
42026841000194;445985;01/02/2025;1944,57;06/02/2025;1898,49
84490720000181;696928;11/11/2025;2063,61;15/11/2025;2054,60
67098202000194;415087;13/06/2025;4398,66;17/06/2025;4375,97
79506937000196;758638;22/05/2025;1858,33;27/05/2025;1831,71
42656616000199;845842;23/03/2025;4831,20;30/03/2025;4656,62
91366313000145;194387;21/06/2025;4150,59;28/06/2025;4061,90
72328099000147;493605;01/12/2025;4807,03;05/12/2025;4793,31
87735356000171;580094;08/06/2025;1909,85;10/06/2025;1859,73
42135700000171;197433;16/03/2025;4657,34;16/03/2025;4614,55
14624638000174;809856;04/02/2025;2693,16;07/02/2025;2581,92
67546730000187;493748;28/09/2025;4882,81;03/10/2025;4875,78
73554345000165;208081;22/01/2025;741,43;24/01/2025;710,19
62376249000157;402761;11/11/2025;2485,51;13/11/2025;2483,89
48419593000121;801299;28/01/2025;1042,32;30/01/2025;1021,99
45668748000149;980302;19/08/2025;4929,80;25/08/2025;4868,40
60744819000151;350420;09/04/2025;3929,71;09/04/2025;3886,87
23992179000160;893415;18/01/2025;1435,03;23/01/2025;1384,39
48149302000138;948829;11/09/2025;4601,98;12/09/2025;4397,05
19894688000140;908100;19/03/2025;649,18;26/03/2025;628,24
75918654000111;247141;05/05/2025;4278,02;05/05/2025;4118,64
62445425000173;347532;29/11/2025;2123,41;06/12/2025;2079,85
36013685000129;307551;08/02/2025;663,92;14/02/2025;641,43
40572130000199;611227;18/09/2025;2218,39;20/09/2025;2159,33
45437176000192;520903;08/06/2025;4958,96;08/06/2025;4728,39
47408846000166;726616;08/11/2025;1204,65;15/11/2025;1183,96
51420477000153;230269;01/04/2025;3116,78;08/04/2025;3061,95
77643284000165;418581;20/01/2025;3940,98;23/01/2025;3877,54
14937969000160;318759;29/01/2025;2742,22;29/01/2025;2639,04
79407582000163;822351;22/10/2025;4200,30;24/10/2025;4195,50
84234967000187;878986;06/01/2025;1647,10;10/01/2025;1646,57
76767363000168;591152;31/05/2025;2286,96;02/06/2025;2201,05
43078190000192;676991;26/05/2025;259,58;01/06/2025;246,86
90658702000114;568473;09/11/2025;51,23;12/11/2025;49,51
91524239000148;497326;26/03/2025;4819,76;02/04/2025;4781,95
54942595000118;648945;15/09/2025;3681,95;20/09/2025;3641,91
85518997000135;436255;03/12/2025;3270,79;03/12/2025;3150,13
48161069000113;998321;22/04/2025;3279,59;29/04/2025;3155,09
78653507000149;921462;09/07/2025;2512,71;09/07/2025;2484,04
63204277000195;541680;11/09/2025;1490,40;16/09/2025;1463,03
68234064000190;759348;31/03/2025;893,65;04/04/2025;853,10
60504017000117;335478;23/12/2025;2367,16;25/12/2025;2258,41
47280448000186;794674;06/09/2025;193,19;07/09/2025;184,27
82568220000133;674112;27/07/2025;3055,57;29/07/2025;2981,64
67699456000157;836151;11/12/2025;1674,22;11/12/2025;1643,52
30881237000129;894126;07/10/2025;212,28;14/10/2025;207,86
34999329000113;161709;03/12/2025;4128,46;09/12/2025;3962,64
55668514000116;675473;26/05/2025;4387,45;26/05/2025;4204,80
35354346000147;809465;26/11/2025;1303,58;30/11/2025;1294,02
90427112000134;105371;14/10/2025;3865,59;15/10/2025;3741,84
26186438000144;295321;04/07/2025;2890,23;10/07/2025;2828,66
89967786000136;977820;05/01/2025;3768,10;11/01/2025;3584,71
93665579000175;790729;07/04/2025;191,79;07/04/2025;190,75
19833720000115;321526;24/09/2025;4456,23;26/09/2025;4335,88
25675071000158;205123;24/08/2025;4444,67;24/08/2025;4350,67
73626541000157;286750;03/10/2025;4189,65;09/10/2025;4086,43
69060231000182;359916;19/03/2025;4160,63;22/03/2025;4138,30
79533836000178;431861;15/03/2025;4412,38;18/03/2025;4393,30
50493573000188;647239;22/03/2025;500,37;23/03/2025;480,69
63263400000149;553078;12/07/2025;1370,21;14/07/2025;1345,36
74285221000140;793064;30/10/2025;2820,22;05/11/2025;2713,97
91992893000188;348003;19/12/2025;1128,79;24/12/2025;1099,13
60440137000156;272580;08/05/2025;1734,09;11/05/2025;1715,89
80614916000196;308941;12/04/2025;3200,30;16/04/2025;3162,80
99431384000135;660363;31/10/2025;4928,36;31/10/2025;4766,20
